"Genes","tissue","expression"
"TNK1-new","Cortex",11.1662
"TREM1-new","Cortex",-12
"2400006E01RIK-new","Cortex",-12
"IGF2AS","Cortex",-12
"UC008IHS.1-new","Cortex",-12
"5133400J02RIK-new","Cortex",-12
"PHLDA2","Cortex",-12
"AF357359","Cortex",3.9134
"GAB1","Cortex",0.34606
"SFMBT2","Cortex",-11
"CD81","Cortex",15.4885
"PHF17","Cortex",0.44078
"TSSC4","Cortex",13.2563
"DACT2-new","Cortex",-0.39263
"SLC22A2","Cortex",-12
"TSSC5","Cortex",-11
"SLC22A3","Cortex",-11
"KLF14","Cortex",-12
"ATP10A","Cortex",11.0736
"DCN","Cortex",-11
"PON2","Cortex",13.1113
"PON3","Cortex",-11
"AMPD3","Cortex",0.62088
"GABRB3","Cortex",-0.39315
"GATM","Cortex",13.9278
"TBC1D12","Cortex",11.8203
"DIO3","Cortex",-11
"NAP1L4","Cortex",14.1276
"MSUIT","Cortex",-12
"ASCL2","Cortex",-12
"OSBPL5","Cortex",12.7438
"TNFRSF23","Cortex",-11
"AIRN","Cortex",-0.90309
"HTR2A","Cortex",11.9969
"MAPT","Cortex",0.38636
"MKRN1-PS1","Cortex",-11
"DLX5","Cortex",11.2376
"IGF2R","Cortex",1.0325
"TRY4-new","Cortex",-12
"TSPAN32","Cortex",-11
"ZIM2","Cortex",-12
"PEC3","e9.5 Embryo (ref)",-12
"UBE2NL","e9.5 Embryo (ref)",-12
"TRAPPC9","e9.5 Embryo (ref)",0.84
"EIF2C2","e9.5 Embryo (ref)",1.05
"MIR344D-3","e9.5 Embryo (ref)",-1.9
"MIR344G","e9.5 Embryo (ref)",-12
"A930009L07RIK","e9.5 Embryo (ref)",-12
"KCNK9","e9.5 Embryo (ref)",-12
"RASGRF1","e9.5 Embryo (ref)",-12
"INPP5F","e9.5 Embryo (ref)",13.5257
"NAP1L5","e9.5 Embryo (ref)",-12
"USP29","e9.5 Embryo (ref)",-5.8
"HERC3-new","e9.5 Embryo (ref)",12.596
"GM9801-new","e9.5 Embryo (ref)",-10
"BEGAIN","e9.5 Embryo (ref)",11.0951
"PX00010K13","e9.5 Embryo (ref)",-12
"PEG13","e9.5 Embryo (ref)",-10
"1110006E14RIK","e9.5 Embryo (ref)",-12
"MBII-343","e9.5 Embryo (ref)",4.97
"MIRG","e9.5 Embryo (ref)",10
"ZDBF2","e9.5 Embryo (ref)",-10
"IMPACT","e9.5 Embryo (ref)",-10
"NDN","e9.5 Embryo (ref)",-12
"NIBP","e9.5 Embryo (ref)",12.7936
"AK139287","e9.5 Embryo (ref)",11
"CCDC40-AS","e9.5 Embryo (ref)",11
"PX00113D24","e9.5 Embryo (ref)",-1.5
"PEC2","e9.5 Embryo (ref)",-12
"ZIM3","e9.5 Embryo (ref)",-12
"AK142849","e9.5 Embryo (ref)",0.3
"MKRN3","e9.5 Embryo (ref)",-12
"IPW","e9.5 Embryo (ref)",-12
"B830012L14RIK","e9.5 Embryo (ref)",0.6
"ADAM23","e9.5 Embryo (ref)",13.0481
"COMMD1","e9.5 Embryo (ref)",15.1332
"UBE3A","e9.5 Embryo (ref)",13.9337
"WARS","e9.5 Embryo (ref)",14.0957
"BCL2L1","e9.5 Embryo (ref)",14.4235
"BLCAP","e9.5 Embryo (ref)",-12
"CALCR","e9.5 Embryo (ref)",-12
"MAGEL2","e9.5 Embryo (ref)",-12
"CDH15","e9.5 Embryo (ref)",-12
"COPG2","e9.5 Embryo (ref)",14.7958
"U80893","e9.5 Embryo (ref)",-12
"NR_015479-new","e9.5 Embryo (ref)",NA
"GRB10","e9.5 Embryo (ref)",10
"PEG10","e9.5 Embryo (ref)",-10
"SGCE","e9.5 Embryo (ref)",-10
"PEG1","e9.5 Embryo (ref)",-6.6
"MCTS2","e9.5 Embryo (ref)",-12
"H13","e9.5 Embryo (ref)",1.26
"SNRPN","e9.5 Embryo (ref)",-12
"ZRSR1","e9.5 Embryo (ref)",-12
"MEG3","e9.5 Embryo (ref)",10
"RIAN","e9.5 Embryo (ref)",10
"PEG3","e9.5 Embryo (ref)",-10
"PLAGL1","e9.5 Embryo (ref)",-10
"1110014L15RIK-new","e9.5 Embryo (ref)",-12
"ASB4","e9.5 Embryo (ref)",10
"ZIM1","e9.5 Embryo (ref)",10
"KLHDC10","e9.5 Embryo (ref)",6.01
"DLK1","e9.5 Embryo (ref)",-7.5
"GNAS","e9.5 Embryo (ref)",16.0336
"PPP1R9A","e9.5 Embryo (ref)",0.31
"PDE4D","e9.5 Embryo (ref)",13.4644
"A19","e9.5 Embryo (ref)",-12
"ZFP264","e9.5 Embryo (ref)",-12
"KCNQ1OT1","e9.5 Embryo (ref)",-12
"AK050713","e9.5 Embryo (ref)",5.41
"RTL1","e9.5 Embryo (ref)",8.12
"CDKN1C","e9.5 Embryo (ref)",10
"PEG12","e9.5 Embryo (ref)",-12
"KCNQ1","e9.5 Embryo (ref)",-10
"NESPAS","e9.5 Embryo (ref)",-2.1
"SLC38A4","e9.5 Embryo (ref)",-8.3
"H19","e9.5 Embryo (ref)",10
"IGF2","e9.5 Embryo (ref)",-10
"INS1","e9.5 Embryo (ref)",-12
"TFPI2","e9.5 Embryo (ref)",-12
"AK043599","e9.5 Embryo (ref)",-12
"EDN3-new","e9.5 Embryo (ref)",-12
"TMEM106A-new","e9.5 Embryo (ref)",-12
"DDC","e9.5 Embryo (ref)",12.5414
"RDM1","e9.5 Embryo (ref)",-12
"TNK1-new","e9.5 Embryo (ref)",-12
"TREM1-new","e9.5 Embryo (ref)",-12
"2400006E01RIK-new","e9.5 Embryo (ref)",-12
"IGF2AS","e9.5 Embryo (ref)",-1.2
"UC008IHS.1-new","e9.5 Embryo (ref)",-12
"5133400J02RIK-new","e9.5 Embryo (ref)",-12
"PHLDA2","e9.5 Embryo (ref)",-12
"AF357359","e9.5 Embryo (ref)",0.9
"GAB1","e9.5 Embryo (ref)",12.9091
"SFMBT2","e9.5 Embryo (ref)",11.6355
"CD81","e9.5 Embryo (ref)",-12
"PHF17","e9.5 Embryo (ref)",13.6469
"TSSC4","e9.5 Embryo (ref)",14.5999
"DACT2-new","e9.5 Embryo (ref)",-12
"SLC22A2","e9.5 Embryo (ref)",-12
"TSSC5","e9.5 Embryo (ref)",-12
"SLC22A3","e9.5 Embryo (ref)",-12
"KLF14","e9.5 Embryo (ref)",-12
"ATP10A","e9.5 Embryo (ref)",-0.6
"DCN","e9.5 Embryo (ref)",-12
"PON2","e9.5 Embryo (ref)",0.8
"PON3","e9.5 Embryo (ref)",-12
"AMPD3","e9.5 Embryo (ref)",-12
"GABRB3","e9.5 Embryo (ref)",11.4819
"GATM","e9.5 Embryo (ref)",-12
"TBC1D12","e9.5 Embryo (ref)",12.683
"DIO3","e9.5 Embryo (ref)",11.1931
"NAP1L4","e9.5 Embryo (ref)",15.6128
"MSUIT","e9.5 Embryo (ref)",-12
"ASCL2","e9.5 Embryo (ref)",-12
"OSBPL5","e9.5 Embryo (ref)",14.0452
"TNFRSF23","e9.5 Embryo (ref)",-12
"AIRN","e9.5 Embryo (ref)",-10
"HTR2A","e9.5 Embryo (ref)",-12
"MAPT","e9.5 Embryo (ref)",12.3452
"MKRN1-PS1","e9.5 Embryo (ref)",-12
"DLX5","e9.5 Embryo (ref)",-12
"IGF2R","e9.5 Embryo (ref)",2.12
"TRY4-new","e9.5 Embryo (ref)",-12
"TSPAN32","e9.5 Embryo (ref)",11.2922
"ZIM2","e9.5 Embryo (ref)",-12
"PEC3","Hippocampus",-10
"UBE2NL","Hippocampus",-10
"TRAPPC9","Hippocampus",10
"EIF2C2","Hippocampus",8.53
"MIR344D-3","Hippocampus",-3.6124
"MIR344G","Hippocampus",-2.7673
"A930009L07RIK","Hippocampus",6.1108
"KCNK9","Hippocampus",2.2321
"RASGRF1","Hippocampus",-10
"INPP5F","Hippocampus",-10
"NAP1L5","Hippocampus",-10
"USP29","Hippocampus",-10
"HERC3-new","Hippocampus",2.9637
"GM9801-new","Hippocampus",-4.2144
"BEGAIN","Hippocampus",-4.7366
"PX00010K13","Hippocampus",-10
"PEG13","Hippocampus",-10
"1110006E14RIK","Hippocampus",10
"MBII-343","Hippocampus",10
"MIRG","Hippocampus",10
"ZDBF2","Hippocampus",-5.4185
"IMPACT","Hippocampus",-10
"NDN","Hippocampus",-10
"NIBP","Hippocampus",-10
"AK139287","Hippocampus",-0.30103
"CCDC40-AS","Hippocampus",-2.1
"PX00113D24","Hippocampus",-6.3216
"PEC2","Hippocampus",-1.8062
"ZIM3","Hippocampus",-10
"AK142849","Hippocampus",0.30103
"MKRN3","Hippocampus",-0.60206
"IPW","Hippocampus",-2.4238
"B830012L14RIK","Hippocampus",1.5051
"ADAM23","Hippocampus",13.4392
"COMMD1","Hippocampus",1.6841
"UBE3A","Hippocampus",12.796
"WARS","Hippocampus",13.6154
"BCL2L1","Hippocampus",14.343
"BLCAP","Hippocampus",14.1472
"CALCR","Hippocampus",-12
"MAGEL2","Hippocampus",-0.90309
"CDH15","Hippocampus",-5.6337
"COPG2","Hippocampus",2.143
"U80893","Hippocampus",-0.90309
"NR_015479-new","Hippocampus",5.9833
"GRB10","Hippocampus",-2.2321
"PEG10","Hippocampus",-7.8268
"SGCE","Hippocampus",-10
"PEG1","Hippocampus",-2.2489
"MCTS2","Hippocampus",-2.0175
"H13","Hippocampus",8.4168
"SNRPN","Hippocampus",-10
"ZRSR1","Hippocampus",-10
"MEG3","Hippocampus",10
"RIAN","Hippocampus",10
"PEG3","Hippocampus",-10
"PLAGL1","Hippocampus",-10
"1110014L15RIK-new","Hippocampus",-11
"ASB4","Hippocampus",-11
"ZIM1","Hippocampus",-11
"KLHDC10","Hippocampus",13.0463
"DLK1","Hippocampus",-1.9689
"GNAS","Hippocampus",15.3091
"PPP1R9A","Hippocampus",13.5096
"PDE4D","Hippocampus",12.2241
"A19","Hippocampus",-12
"ZFP264","Hippocampus",-0.30103
"KCNQ1OT1","Hippocampus",-10
"AK050713","Hippocampus",0.30103
"RTL1","Hippocampus",2.4984
"CDKN1C","Hippocampus",-12
"PEG12","Hippocampus",-0.30103
"KCNQ1","Hippocampus",0.30103
"NESPAS","Hippocampus",-12
"SLC38A4","Hippocampus",-11
"H19","Hippocampus",0.30103
"IGF2","Hippocampus",10
"INS1","Hippocampus",-12
"TFPI2","Hippocampus",-12
"AK043599","Hippocampus",1.5051
"EDN3-new","Hippocampus",0.54395
"TMEM106A-new","Hippocampus",-0.96108
"DDC","Hippocampus",11.2508
"RDM1","Hippocampus",11.8048
"TNK1-new","Hippocampus",-11
"TREM1-new","Hippocampus",-12
"2400006E01RIK-new","Hippocampus",-12
"IGF2AS","Hippocampus",0.30103
"UC008IHS.1-new","Hippocampus",-12
"5133400J02RIK-new","Hippocampus",-12
"PHLDA2","Hippocampus",-12
"AF357359","Hippocampus",0.90309
"GAB1","Hippocampus",-0.48086
"SFMBT2","Hippocampus",-11
"CD81","Hippocampus",15.6454
"PHF17","Hippocampus",11.4232
"TSSC4","Hippocampus",-0.81142
"DACT2-new","Hippocampus",13.0325
"SLC22A2","Hippocampus",-12
"TSSC5","Hippocampus",-12
"SLC22A3","Hippocampus",-0.30103
"KLF14","Hippocampus",-12
"ATP10A","Hippocampus",0.882
"DCN","Hippocampus",12.0152
"PON2","Hippocampus",12.5332
"PON3","Hippocampus",0.50515
"AMPD3","Hippocampus",0.65499
"GABRB3","Hippocampus",14.5367
"GATM","Hippocampus",-0.28167
"TBC1D12","Hippocampus",11.1334
"DIO3","Hippocampus",0.30103
"NAP1L4","Hippocampus",14.1802
"MSUIT","Hippocampus",-12
"ASCL2","Hippocampus",-12
"OSBPL5","Hippocampus",11.6653
"TNFRSF23","Hippocampus",-11
"AIRN","Hippocampus",-12
"HTR2A","Hippocampus",0.30103
"MAPT","Hippocampus",14.9053
"MKRN1-PS1","Hippocampus",-11
"DLX5","Hippocampus",11.1904
"IGF2R","Hippocampus",11.8056
"TRY4-new","Hippocampus",-12
"TSPAN32","Hippocampus",-12
"ZIM2","Hippocampus",-12
"PEC3","TSCs (ref)",-12
"UBE2NL","TSCs (ref)",-12
"TRAPPC9","TSCs (ref)",11
"EIF2C2","TSCs (ref)",12.1818
"MIR344D-3","TSCs (ref)",-12
"MIR344G","TSCs (ref)",-12
"A930009L07RIK","TSCs (ref)",-12
"KCNK9","TSCs (ref)",-12
"RASGRF1","TSCs (ref)",-12
"INPP5F","TSCs (ref)",13.3267
"NAP1L5","TSCs (ref)",-12
"USP29","TSCs (ref)",-12
"HERC3-new","TSCs (ref)",0.6
"GM9801-new","TSCs (ref)",-12
"BEGAIN","TSCs (ref)",-12
"PX00010K13","TSCs (ref)",-12
"PEG13","TSCs (ref)",-12
"1110006E14RIK","TSCs (ref)",-12
"MBII-343","TSCs (ref)",-12
"MIRG","TSCs (ref)",2.4
"ZDBF2","TSCs (ref)",-12
"IMPACT","TSCs (ref)",-0.5
"NDN","TSCs (ref)",-12
"NIBP","TSCs (ref)",-0.8
"AK139287","TSCs (ref)",-12
"CCDC40-AS","TSCs (ref)",-12
"PX00113D24","TSCs (ref)",-10
"PEC2","TSCs (ref)",-12
"ZIM3","TSCs (ref)",-12
"AK142849","TSCs (ref)",-12
"MKRN3","TSCs (ref)",-0.3
"IPW","TSCs (ref)",-12
"B830012L14RIK","TSCs (ref)",-12
"ADAM23","TSCs (ref)",-12
"COMMD1","TSCs (ref)",-12
"UBE3A","TSCs (ref)",13.0068
"WARS","TSCs (ref)",-0.5
"BCL2L1","TSCs (ref)",-0.4
"BLCAP","TSCs (ref)",14.7147
"CALCR","TSCs (ref)",-12
"MAGEL2","TSCs (ref)",-12
"CDH15","TSCs (ref)",-12
"COPG2","TSCs (ref)",-12
"U80893","TSCs (ref)",-12
"NR_015479-new","TSCs (ref)",12.6591
"GRB10","TSCs (ref)",10
"PEG10","TSCs (ref)",-10
"SGCE","TSCs (ref)",-10
"PEG1","TSCs (ref)",-12
"MCTS2","TSCs (ref)",-3
"H13","TSCs (ref)",0.33
"SNRPN","TSCs (ref)",-12
"ZRSR1","TSCs (ref)",-12
"MEG3","TSCs (ref)",-12
"RIAN","TSCs (ref)",-12
"PEG3","TSCs (ref)",-12
"PLAGL1","TSCs (ref)",-12
"1110014L15RIK-new","TSCs (ref)",-12
"ASB4","TSCs (ref)",-12
"ZIM1","TSCs (ref)",-12
"KLHDC10","TSCs (ref)",-12
"DLK1","TSCs (ref)",-12
"GNAS","TSCs (ref)",-3.9
"PPP1R9A","TSCs (ref)",12.8573
"PDE4D","TSCs (ref)",-12
"A19","TSCs (ref)",-12
"ZFP264","TSCs (ref)",-12
"KCNQ1OT1","TSCs (ref)",-12
"AK050713","TSCs (ref)",-12
"RTL1","TSCs (ref)",1.5
"CDKN1C","TSCs (ref)",-12
"PEG12","TSCs (ref)",0.46
"KCNQ1","TSCs (ref)",-9.9
"NESPAS","TSCs (ref)",-9.9
"SLC38A4","TSCs (ref)",-10
"H19","TSCs (ref)",-12
"IGF2","TSCs (ref)",-12
"INS1","TSCs (ref)",-12
"TFPI2","TSCs (ref)",-12
"AK043599","TSCs (ref)",-12
"EDN3-new","TSCs (ref)",-12
"TMEM106A-new","TSCs (ref)",14.1389
"DDC","TSCs (ref)",15.6899
"RDM1","TSCs (ref)",14.6233
"TNK1-new","TSCs (ref)",-0.4
"TREM1-new","TSCs (ref)",-12
"2400006E01RIK-new","TSCs (ref)",-12
"IGF2AS","TSCs (ref)",11
"UC008IHS.1-new","TSCs (ref)",-1.5
"5133400J02RIK-new","TSCs (ref)",-4.7
"PHLDA2","TSCs (ref)",10
"AF357359","TSCs (ref)",10
"GAB1","TSCs (ref)",-10
"SFMBT2","TSCs (ref)",-10
"CD81","TSCs (ref)",9.7
"PHF17","TSCs (ref)",-10
"TSSC4","TSCs (ref)",2.52
"DACT2-new","TSCs (ref)",1.91
"SLC22A2","TSCs (ref)",-12
"TSSC5","TSCs (ref)",0.76
"SLC22A3","TSCs (ref)",-12
"KLF14","TSCs (ref)",-12
"ATP10A","TSCs (ref)",-12
"DCN","TSCs (ref)",-12
"PON2","TSCs (ref)",-12
"PON3","TSCs (ref)",-12
"AMPD3","TSCs (ref)",-12
"GABRB3","TSCs (ref)",-12
"GATM","TSCs (ref)",-12
"TBC1D12","TSCs (ref)",-0.6
"DIO3","TSCs (ref)",11
"NAP1L4","TSCs (ref)",15.2339
"MSUIT","TSCs (ref)",-12
"ASCL2","TSCs (ref)",1.2
"OSBPL5","TSCs (ref)",1.02
"TNFRSF23","TSCs (ref)",-12
"AIRN","TSCs (ref)",-3
"HTR2A","TSCs (ref)",-12
"MAPT","TSCs (ref)",12.7038
"MKRN1-PS1","TSCs (ref)",-12
"DLX5","TSCs (ref)",-12
"IGF2R","TSCs (ref)",10
"TRY4-new","TSCs (ref)",-12
"TSPAN32","TSCs (ref)",-12
"ZIM2","TSCs (ref)",-12
"PEC3","Cerebellum",-2.4082
"UBE2NL","Cerebellum",-1.8062
"TRAPPC9","Cerebellum",5.1017
"EIF2C2","Cerebellum",6.5755
"MIR344D-3","Cerebellum",-10
"MIR344G","Cerebellum",-10
"A930009L07RIK","Cerebellum",10
"KCNK9","Cerebellum",2.4238
"RASGRF1","Cerebellum",-10
"INPP5F","Cerebellum",-10
"NAP1L5","Cerebellum",-10
"USP29","Cerebellum",-10
"HERC3-new","Cerebellum",4.1529
"GM9801-new","Cerebellum",-3.9134
"BEGAIN","Cerebellum",13.0333
"PX00010K13","Cerebellum",-10
"PEG13","Cerebellum",-10
"1110006E14RIK","Cerebellum",10
"MBII-343","Cerebellum",10
"MIRG","Cerebellum",10
"ZDBF2","Cerebellum",-5.7196
"IMPACT","Cerebellum",-10
"NDN","Cerebellum",-10
"NIBP","Cerebellum",-10
"AK139287","Cerebellum",-0.30103
"CCDC40-AS","Cerebellum",-11
"PX00113D24","Cerebellum",-7.8268
"PEC2","Cerebellum",-12
"ZIM3","Cerebellum",-10
"AK142849","Cerebellum",2.7093
"MKRN3","Cerebellum",-1.2041
"IPW","Cerebellum",-7.9105
"B830012L14RIK","Cerebellum",5.7196
"ADAM23","Cerebellum",13.9998
"COMMD1","Cerebellum",0.30103
"UBE3A","Cerebellum",12.9994
"WARS","Cerebellum",13.7571
"BCL2L1","Cerebellum",14.9215
"BLCAP","Cerebellum",14.7926
"CALCR","Cerebellum",-12
"MAGEL2","Cerebellum",-0.30103
"CDH15","Cerebellum",14.1367
"COPG2","Cerebellum",0.91793
"U80893","Cerebellum",-12
"NR_015479-new","Cerebellum",4.5393
"GRB10","Cerebellum",-8.013
"PEG10","Cerebellum",-10
"SGCE","Cerebellum",-10
"PEG1","Cerebellum",-1.9507
"MCTS2","Cerebellum",-0.90309
"H13","Cerebellum",0.84109
"SNRPN","Cerebellum",-10
"ZRSR1","Cerebellum",-10
"MEG3","Cerebellum",10
"RIAN","Cerebellum",10
"PEG3","Cerebellum",-10
"PLAGL1","Cerebellum",-10
"1110014L15RIK-new","Cerebellum",-11
"ASB4","Cerebellum",-11
"ZIM1","Cerebellum",-11
"KLHDC10","Cerebellum",13.4266
"DLK1","Cerebellum",-1.2041
"GNAS","Cerebellum",1.2207
"PPP1R9A","Cerebellum",12.865
"PDE4D","Cerebellum",12.5351
"A19","Cerebellum",-12
"ZFP264","Cerebellum",-12
"KCNQ1OT1","Cerebellum",-10
"AK050713","Cerebellum",1.5051
"RTL1","Cerebellum",3.4385
"CDKN1C","Cerebellum",2.4082
"PEG12","Cerebellum",-12
"KCNQ1","Cerebellum",0.30103
"NESPAS","Cerebellum",-12
"SLC38A4","Cerebellum",-12
"H19","Cerebellum",7.2247
"IGF2","Cerebellum",10
"INS1","Cerebellum",-12
"TFPI2","Cerebellum",-12
"AK043599","Cerebellum",2.6632
"EDN3-new","Cerebellum",0.63696
"TMEM106A-new","Cerebellum",-11
"DDC","Cerebellum",0.40311
"RDM1","Cerebellum",11.9118
"TNK1-new","Cerebellum",-12
"TREM1-new","Cerebellum",-12
"2400006E01RIK-new","Cerebellum",-12
"IGF2AS","Cerebellum",-0.727
"UC008IHS.1-new","Cerebellum",-12
"5133400J02RIK-new","Cerebellum",-12
"PHLDA2","Cerebellum",-12
"AF357359","Cerebellum",0.60206
"GAB1","Cerebellum",12.5852
"SFMBT2","Cerebellum",-0.41206
"CD81","Cerebellum",15.9168
"PHF17","Cerebellum",0.79548
"TSSC4","Cerebellum",-0.93101
"DACT2-new","Cerebellum",11.4992
"SLC22A2","Cerebellum",-12
"TSSC5","Cerebellum",-11
"SLC22A3","Cerebellum",-0.12494
"KLF14","Cerebellum",-12
"ATP10A","Cerebellum",11.472
"DCN","Cerebellum",12.7536
"PON2","Cerebellum",12.8133
"PON3","Cerebellum",-11
"AMPD3","Cerebellum",12.35
"GABRB3","Cerebellum",13.7262
"GATM","Cerebellum",13.8799
"TBC1D12","Cerebellum",11.5741
"DIO3","Cerebellum",0.12494
"NAP1L4","Cerebellum",-0.60139
"MSUIT","Cerebellum",-12
"ASCL2","Cerebellum",-12
"OSBPL5","Cerebellum",11.6659
"TNFRSF23","Cerebellum",0.50515
"AIRN","Cerebellum",-10
"HTR2A","Cerebellum",-0.18293
"MAPT","Cerebellum",15.2773
"MKRN1-PS1","Cerebellum",-0.37416
"DLX5","Cerebellum",-12
"IGF2R","Cerebellum",10
"TRY4-new","Cerebellum",-12
"TSPAN32","Cerebellum",-12
"ZIM2","Cerebellum",-12
"PEC3","Striatum",-5.1175
"UBE2NL","Striatum",-9.2689
"TRAPPC9","Striatum",-12
"EIF2C2","Striatum",2.7378
"MIR344D-3","Striatum",-9.2689
"MIR344G","Striatum",-6.9237
"A930009L07RIK","Striatum",0.60206
"KCNK9","Striatum",0.90309
"RASGRF1","Striatum",-10
"INPP5F","Striatum",-10
"NAP1L5","Striatum",-9.633
"USP29","Striatum",-10
"HERC3-new","Striatum",5.3839
"GM9801-new","Striatum",-2.4327
"BEGAIN","Striatum",-2.778
"PX00010K13","Striatum",-12
"PEG13","Striatum",-12
"1110006E14RIK","Striatum",10
"MBII-343","Striatum",10
"MIRG","Striatum",10
"ZDBF2","Striatum",-10
"IMPACT","Striatum",-10
"NDN","Striatum",-10
"NIBP","Striatum",-10
"AK139287","Striatum",-0.60206
"CCDC40-AS","Striatum",-11
"PX00113D24","Striatum",-3.3113
"PEC2","Striatum",-0.30103
"ZIM3","Striatum",-12
"AK142849","Striatum",1.2041
"MKRN3","Striatum",-12
"IPW","Striatum",-0.84004
"B830012L14RIK","Striatum",5.7196
"ADAM23","Striatum",-3.754
"COMMD1","Striatum",0.60206
"UBE3A","Striatum",3.8063
"WARS","Striatum",-0.31874
"BCL2L1","Striatum",-0.23613
"BLCAP","Striatum",12.2659
"CALCR","Striatum",0.30103
"MAGEL2","Striatum",-4.2144
"CDH15","Striatum",-0.41206
"COPG2","Striatum",1.5715
"U80893","Striatum",-12
"NR_015479-new","Striatum",-3.6124
"GRB10","Striatum",-6.3954
"PEG10","Striatum",-10
"SGCE","Striatum",-10
"PEG1","Striatum",-10
"MCTS2","Striatum",-6.3954
"H13","Striatum",2.4551
"SNRPN","Striatum",-10
"ZRSR1","Striatum",-10
"MEG3","Striatum",10
"RIAN","Striatum",10
"PEG3","Striatum",-10
"PLAGL1","Striatum",-10
"1110014L15RIK-new","Striatum",-11
"ASB4","Striatum",0.30103
"ZIM1","Striatum",-11
"KLHDC10","Striatum",0.43062
"DLK1","Striatum",-10
"GNAS","Striatum",1.4938
"PPP1R9A","Striatum",14.9307
"PDE4D","Striatum",-1.3822
"A19","Striatum",-12
"ZFP264","Striatum",-12
"KCNQ1OT1","Striatum",-10
"AK050713","Striatum",-12
"RTL1","Striatum",-12
"CDKN1C","Striatum",-12
"PEG12","Striatum",-12
"KCNQ1","Striatum",0.30103
"NESPAS","Striatum",-12
"SLC38A4","Striatum",0.30103
"H19","Striatum",-12
"IGF2","Striatum",0.60206
"INS1","Striatum",-12
"TFPI2","Striatum",-12
"AK043599","Striatum",1.8062
"EDN3-new","Striatum",-0.30103
"TMEM106A-new","Striatum",-11
"DDC","Striatum",0.43976
"RDM1","Striatum",12.029
"TNK1-new","Striatum",0.30103
"TREM1-new","Striatum",-12
"2400006E01RIK-new","Striatum",-12
"IGF2AS","Striatum",-12
"UC008IHS.1-new","Striatum",-12
"5133400J02RIK-new","Striatum",-12
"PHLDA2","Striatum",-12
"AF357359","Striatum",1.5051
"GAB1","Striatum",12.0768
"SFMBT2","Striatum",-11
"CD81","Striatum",16
"PHF17","Striatum",12.6582
"TSSC4","Striatum",13.4226
"DACT2-new","Striatum",12.0582
"SLC22A2","Striatum",-12
"TSSC5","Striatum",-0.30103
"SLC22A3","Striatum",0.62812
"KLF14","Striatum",-12
"ATP10A","Striatum",-0.54777
"DCN","Striatum",12.1543
"PON2","Striatum",12.9015
"PON3","Striatum",-11
"AMPD3","Striatum",12.9427
"GABRB3","Striatum",14.5818
"GATM","Striatum",14.3069
"TBC1D12","Striatum",-0.86171
"DIO3","Striatum",-0.30103
"NAP1L4","Striatum",0.50973
"MSUIT","Striatum",-12
"ASCL2","Striatum",-12
"OSBPL5","Striatum",11.6302
"TNFRSF23","Striatum",-0.30103
"AIRN","Striatum",-0.60206
"HTR2A","Striatum",-0.30103
"MAPT","Striatum",15.1711
"MKRN1-PS1","Striatum",0.30103
"DLX5","Striatum",12.3569
"IGF2R","Striatum",11.708
"TRY4-new","Striatum",-12
"TSPAN32","Striatum",-0.12494
"ZIM2","Striatum",-12
"PEC3","e17.5 Placenta (ref)",-12
"UBE2NL","e17.5 Placenta (ref)",-12
"TRAPPC9","e17.5 Placenta (ref)",0.8
"EIF2C2","e17.5 Placenta (ref)",1.03
"MIR344D-3","e17.5 Placenta (ref)",-12
"MIR344G","e17.5 Placenta (ref)",-12
"A930009L07RIK","e17.5 Placenta (ref)",-12
"KCNK9","e17.5 Placenta (ref)",-12
"RASGRF1","e17.5 Placenta (ref)",-12
"INPP5F","e17.5 Placenta (ref)",12.2244
"NAP1L5","e17.5 Placenta (ref)",-12
"USP29","e17.5 Placenta (ref)",-10
"HERC3-new","e17.5 Placenta (ref)",2.11
"GM9801-new","e17.5 Placenta (ref)",-12
"BEGAIN","e17.5 Placenta (ref)",-12
"PX00010K13","e17.5 Placenta (ref)",-2.6
"PEG13","e17.5 Placenta (ref)",-5.1
"1110006E14RIK","e17.5 Placenta (ref)",-12
"MBII-343","e17.5 Placenta (ref)",-12
"MIRG","e17.5 Placenta (ref)",10
"ZDBF2","e17.5 Placenta (ref)",-0.5
"IMPACT","e17.5 Placenta (ref)",-10
"NDN","e17.5 Placenta (ref)",-2.6
"NIBP","e17.5 Placenta (ref)",-0.5
"AK139287","e17.5 Placenta (ref)",-12
"CCDC40-AS","e17.5 Placenta (ref)",-12
"PX00113D24","e17.5 Placenta (ref)",-12
"PEC2","e17.5 Placenta (ref)",-12
"ZIM3","e17.5 Placenta (ref)",-12
"AK142849","e17.5 Placenta (ref)",-12
"MKRN3","e17.5 Placenta (ref)",-12
"IPW","e17.5 Placenta (ref)",-12
"B830012L14RIK","e17.5 Placenta (ref)",0.67
"ADAM23","e17.5 Placenta (ref)",-1.9
"COMMD1","e17.5 Placenta (ref)",-12
"UBE3A","e17.5 Placenta (ref)",-12
"WARS","e17.5 Placenta (ref)",-12
"BCL2L1","e17.5 Placenta (ref)",14.4629
"BLCAP","e17.5 Placenta (ref)",-12
"CALCR","e17.5 Placenta (ref)",-12
"MAGEL2","e17.5 Placenta (ref)",-12
"CDH15","e17.5 Placenta (ref)",-12
"COPG2","e17.5 Placenta (ref)",-1
"U80893","e17.5 Placenta (ref)",-12
"NR_015479-new","e17.5 Placenta (ref)",-12
"GRB10","e17.5 Placenta (ref)",-12
